Year,Week,Date,Percent of Deaths Due to Pneumonia and Influenza (P&I),"Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)",Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,COVID-19 Deaths,"Pneumonia, Influenza or COVID-19 Deaths (PIC)"
2019,27,7/1/2019,5.49769735,5.49769735,5.42344,5.73202,52331,2864,13,0,2877
2019,28,7/8/2019,5.357246056,5.357246056,5.34677,5.65519,51911,2770,11,0,2781
2019,29,7/15/2019,5.197923929,5.197923929,5.28013,5.5884,51636,2679,5,0,2684
2019,30,7/22/2019,5.363539549,5.363539549,5.22446,5.53256,51645,2762,8,0,2770
2019,31,7/29/2019,5.336887367,5.336887367,5.18049,5.48844,51397,2737,6,0,2743
2019,32,8/5/2019,5.126817198,5.126817198,5.14884,5.45663,51728,2645,7,0,2652
2019,33,8/12/2019,5.117291699,5.117291699,5.1299,5.43754,50984,2601,8,0,2609
2019,34,8/19/2019,5.113825761,5.113825761,5.12391,5.43139,50999,2602,6,0,2608
2019,35,8/26/2019,5.144399038,5.144399038,5.1309,5.43822,51143,2618,13,0,2631
2019,36,9/2/2019,5.009168999,5.009168999,5.15073,5.45789,51805,2583,12,0,2595
2019,37,9/9/2019,4.904088355,4.904088355,5.18307,5.49007,51610,2515,16,0,2531
2019,38,9/16/2019,5.26275101,5.26275101,5.22739,5.53423,51741,2709,14,0,2723
2019,39,9/23/2019,5.301478953,5.301478953,5.28302,5.5897,52740,2780,16,0,2796
2019,40,9/30/2019,5.198340186,5.198340186,5.34909,5.65562,52536,2714,17,0,2731
2019,41,10/7/2019,5.272579946,5.272579946,5.42462,5.73099,53067,2782,16,0,2798
2019,42,10/14/2019,5.541849247,5.541849247,5.50847,5.81468,54314,2992,18,0,3010
2019,43,10/21/2019,5.598223374,5.598223374,5.59937,5.90542,54035,2995,30,0,3025
2019,44,10/28/2019,5.473041709,5.473041709,5.69598,6.00187,54065,2928,31,0,2959
2019,45,11/4/2019,5.590586545,5.590586545,5.79685,6.10258,55665,3081,31,0,3112
2019,46,11/11/2019,5.630549986,5.630549986,5.90048,6.20606,55856,3106,39,0,3145
2019,47,11/18/2019,5.455937606,5.455937606,6.00535,6.31078,56159,3014,50,0,3064
2019,48,11/25/2019,5.524881816,5.524881816,6.1099,6.41516,55422,2996,66,0,3062
2019,49,12/2/2019,5.991371028,5.991371028,6.21258,6.51768,57249,3329,101,0,3430
2019,50,12/9/2019,6.231886573,6.231886573,6.31187,6.61682,57623,3480,111,0,3591
2019,51,12/16/2019,6.13425321,6.13425321,6.40631,6.7111,57399,3392,129,0,3521
2019,52,12/23/2019,6.402819842,6.402819842,6.49449,6.79912,58443,3539,203,0,3742
2020,1,12/30/2019,7.553141867,7.553141867,6.57513,6.8796,60028,4102,432,0,4534
2020,2,1/6/2020,7.607116921,7.607116921,6.64702,6.95133,60588,4137,472,1,4609
2020,3,1/13/2020,7.636320651,7.636320651,6.70909,7.01325,59217,4057,465,2,4522
2020,4,1/20/2020,7.460182989,7.465266012,6.76044,7.06444,59020,3905,498,3,4406
2020,5,1/27/2020,7.308223029,7.308223029,6.80029,7.10413,58701,3810,480,0,4290
2020,6,2/3/2020,7.303512762,7.308567096,6.82803,7.13172,59355,3816,519,4,4338
2020,7,2/10/2020,7.494165148,7.500979574,6.84326,7.14679,58699,3839,560,6,4403
2020,8,2/17/2020,7.277398717,7.282503275,6.84573,7.1491,58771,3711,566,6,4280
2020,9,2/24/2020,7.587453339,7.594209753,6.83539,7.1386,59203,3837,655,9,4496
2020,10,3/2/2020,7.738794695,7.769011247,6.8159,7.11911,59570,3976,634,38,4628
2020,11,3/9/2020,7.849298926,7.898826704,6.78401,7.08722,58553,3971,625,60,4625
2020,12,3/16/2020,8.631717883,9.174901855,6.74019,7.0434,59096,4543,558,586,5422
2020,13,3/23/2020,10.51961891,13.2314348,6.68508,6.98829,62873,6169,445,3211,8319
2020,14,3/30/2020,14.39739414,21.465105,6.61949,6.9227,72145,9911,476,10113,15486
